Builder , Total Bids , Active Bids , Awarded Bids , Awarded Total(In $)
Addison Homes,107,91,12,50595.1
Adolphus Homes,1,1,0,0
Aldriedge Building Corporation,3,3,0,0
"Alford Homes, L.P.",19,19,0,0
"Anderson-Jenkins Signature Homes, Ltd.",7,7,0,0
Apex Construction SC LLC,3,3,0,0
Arbogast Custom Homes,21,17,4,34564.23
Arlington Construction Management,1,1,0,0
Arlington Designer Homes Construction LLC,41,35,6,33392.05
Artistic Design and Construction,2,2,0,0
"Associated Custom Builders, LLC",1,1,0,0
ATD Construction,1,1,0,0
Authentic Homes,5,4,0,0
Avery Homes,51,51,0,0
Baldwin Homes Inc,12,11,0,0
Barrett Development / The Barrett Companies,13,13,0,0
"Bass Built, Inc.",1,0,0,0
Bauhaus Custom Homes,53,53,0,0
Beacon Homes of Charlotte (dba Beacon Builders),1,1,0,0
Beaver Builders,3,3,0,0
"Bill Reaves Construction Co., Inc.",3,2,1,4617
Bill Taute Homes,5,5,0,0
"Bongers Builder Group, LLC",11,11,0,0
"Bonville Construction Company, Inc.",19,16,0,0
Boyd Custom Homes,6,6,0,0
"Boyer Custom Homes, Inc.",8,8,0,0
"Brewster Builders, Inc.",27,27,0,0
"Bruyn Homes, Inc.",10,10,0,0
"BVH Construction Services, Inc.",2,2,0,0
C&C Development Company,7,4,2,14638
"Calais Custom Homes, Inc.",2,2,0,0
"Calais Custom Homes, Inc. - DAL",2,2,0,0
CAM Builders ,3,3,0,0
Capital City Builders,7,7,0,0
Capstone Custom Homes,2,2,0,0
Cashion Custom Homes,11,9,0,0
CB/USA Test Builder - Houston,1,1,0,0
CBUSA Test Builder - OKC,3,3,0,0
"Chadsworth Homes, Inc.",12,9,3,43256.59
Christopher Sims Custom Homes,9,9,0,0
Cityscape Builders,4,4,0,0
"Classic Remodeling & Construction, Inc",1,1,0,0
Classic Urban Homes,35,34,0,0
"CMM Construction, Inc.",1,1,0,0
"Courtland Building Company, Inc",22,8,0,0
"Courtland Building Company, Inc. - SAT",41,41,0,0
Creech Construction Co.,2,2,0,0
Creekstone Builders,9,7,1,16710
Curb Appeal Renovations,7,6,1,1450.82
Dale Sauer Homes,227,182,43,688270.43
Daniel Adams Construction,23,14,0,0
Diamante Custom Homes,272,262,2,9505
Double Diamond Custom Homes,8,8,0,0
"Durrett Builders, Inc &/or Durrett Interests, LLC",3,3,0,0
Dwelling Group LLC,3,2,0,0
Elegance in Design Custom Homes,60,52,6,20167
First Street Builders,45,43,1,2245.21
Foley Development Group,113,96,12,144354.03
Fortson Construction Management LLC,118,107,0,0
"Future Homes by Jim Thompson, Inc.",3,3,0,0
Gabriel Builders,2,2,0,0
Garabedian Properties,42,30,5,24418.84
Garabedian Properties - DAL,4,2,2,9421.79
Garner Custom Homes,3,3,0,0
Garvey Hansen LLC dba Garvey Homes,3,3,0,0
Goetz Construction Co.,29,29,0,0
"Golden Rule Builders, Inc.",166,135,26,87623.31
"Gossett Jones Homes, Inc.",1,1,0,0
Gruver-Cooley Corporation,128,110,18,116989.55
Hadrian Construction Company,1,1,0,0
Haley Custom Homes ,1,1,0,0
Halifax Homes,65,64,0,0
Hanlon Design Build,6,6,0,0
Harper & Company,2,2,0,0
Harrison Homes,2,2,0,0
Healthy House of Ga ,16,13,2,1375
Heartland Builders,5,5,0,0
Hollison Custom Homes,1,1,0,0
"Homes by Dickerson, Inc.",72,6,66,833407
Houser Custom Homes,11,10,0,0
Huntley Design Build - Pinehurst,14,14,0,0
"J. Parker Custom Homes, LLC",1,1,0,0
"J.D.A. Custom Homes, Inc.",27,27,0,0
Jackson Design Build - Majestic Development,8,8,0,0
Jason Carter Custom Homes,136,135,0,0
Jauregui Inc. - Dallas,2,2,0,0
"Jauregui, Inc.",5,5,0,0
"Jauregui, Inc. - Houston",3,3,0,0
"Jeff Aykroyd Homes, Inc.",3,0,0,0
Jefferies Custom Homes,4,4,0,0
Jenkins Custom Homes,4,4,0,0
Jim Johnson Group,49,43,1,4021
"Jim Rush, Green Builder, Inc.",4,4,0,0
JLD Custom Homes,9,9,0,0
John Connell Custom Homes,10,10,0,0
Jorgenson Builders,5,4,1,1188.98
Joseph Fowler Homes LTD,107,94,4,165725.6
"Katz Builders, Inc.",19,18,0,0
"King Residential, Inc.",3,3,0,0
Kingston Construction,2,1,1,2018.73
Kissling Design Build (Homestead Custom Homes),131,130,0,0
Knight West Construction,1,1,0,0
Kojeski Construction,3,3,0,0
Kurtin Fine Homes,1,1,0,0
Kyle Lindsey Custom Home,5,5,0,0
"Landmark Builders Group, LLC",21,21,0,0
Lantana Homes,108,100,0,0
"Lapos Construction, Inc.",12,12,0,0
"Larry Stewart Homes,",21,21,0,0
"Laurel Haven Homes, LP",1,1,0,0
"LeComte Group, LLC",51,46,0,0
Legacy Custom Homes,1,1,0,0
Longacre Construction Company,39,36,0,0
"Longo Homes, Inc.",2,2,0,0
"Madigan Custom Homes, Inc.",100,97,0,0
Mamaso Development / CWR Construction,3,3,0,0
Mark Johnson Custom Homes,1,1,0,0
"Mark Methvin Homes, Inc.",2,2,0,0
Marsters Company,1,1,0,0
"Matthew Bowe Design/Build, LLC",19,19,0,0
Maykus Custom Homes,1,1,0,0
McKee Management Associates DBA The McKee Group,1,1,0,0
McVaugh Custom Homes Inc.,36,33,0,0
Metropolitan Custom Homes,33,11,11,81658.36
Mike Garcia Homes,66,63,3,20985
"Mishler Builders, Inc.",3,3,0,0
Monticello Homes,5,5,0,0
Monument Custom Builders,3,3,0,0
"Murphy Homes, Inc.",16,13,1,24343
"Natelli Homes, LLC",30,18,12,108138.22
"New Century Homes, LLC",2,1,1,3247
New City Construction,3,2,0,0
Oliver Custom Homes LLC,259,254,2,131996.75
"Patowmack Associates, Inc.",1,1,0,0
"Payne & Payne Builders, Inc.",3,3,0,0
"Pinehurst Homes, Inc.",23,23,0,0
"Platinum Homes, Inc.",1,1,0,0
Potomac Legacy LLC,11,11,0,0
"Premier Partners, LLC",2,2,0,0
Prestige Designer Homes,5,4,1,0
"Procopio Family Homes, Inc.",15,15,0,0
Ravin Homes,10,8,0,0
RDI Homes,1,1,0,0
Renehan Building Group,6,6,0,0
"Richard Gaylord Homes, Inc.",3,3,0,0
Richard Price Custom Homes ,10,10,0,0
"Robert Bragg Mechanical Services, Inc.",82,77,2,19118
"Sabre Commercial, Inc.",56,56,0,0
Saussy Burbank Homes - Raleigh,1,1,0,0
"Saxena Custom Homes 100, LLC",15,5,5,55728
Scarlett Custom Homes,10,9,1,17221
Schaeffer Family Homes,4,4,0,0
Schwartz Custom Homes,24,24,0,0
Sekas Homes,4,4,0,0
Sendero Homes,12,11,0,0
Shawn Forth Custom Homes,3,3,0,0
"Soledad Builders, LLC",101,101,0,0
"Spectrum - Evergreen Homes, Inc.",1,1,0,0
St James Plantation,1,1,0,0
"Sterling Brook Homes, LLC",14,13,0,0
Stewart Construction & Development Co.,1,1,0,0
Stiffel Homes LLC,5,2,0,0
Structures Building Company,3,3,0,0
Sugar Creek Homes,1,1,0,0
SugarOak Corporation,34,34,0,0
Summit Built Homes,1,1,0,0
Sundance Development,28,26,2,19565
"Taurus Enterprises, Inc.",43,23,20,206268.68
Timberidge Custom Homes,1,1,0,0
"Tradition Homes, LLC",1,1,0,0
"Trafalgar Homes of Texas, LLC",1,1,0,0
Tranquility Homes,13,3,10,31625.87
Travis Creek Homes LLC,4,4,0,0
Unique Builders,6,6,0,0
University Group,12,10,2,11917
Uptmore LLC dba Uptmore Custom Homes,3,3,0,0
V Fine Homes,2,2,0,0
V Fine Homes - DAL,1,1,0,0
Victor Myers Custom Homes,96,82,12,103895.32
Village Homes,1,1,0,0
Vision Design & Build,68,67,1,4236
Wexford Homes,22,22,0,0
Williams-Hirsch Custom Builders,7,7,0,0
"Wiseman Builders, LLC",60,49,7,51638
Zbranek & Holt Custom Homes,14,14,0,0
